GameID,Date,Time,White,WhiteElo,WhiteRatingDiff,Black,BlackElo,BlackRatingDiff,TotalMoves,ECO,Opening,TimeControl,Termination,Result
1,2024.01.01,00:00:08,EyalSa,1550,-6,saiyank_24,1492,7,54,D06,Queen's Gambit Declined: Marshall Defense,300+3,Time forfeit,0-1
2,2024.01.01,00:00:18,Frogman33,1082,9,tausgang,1155,-7,63,D00,Queen's Pawn Game,120+1,Time forfeit,1-0
3,2024.01.01,00:00:34,Tomi_Viper,1593,-5,xiangqishogichess,1641,5,52,B10,Caro-Kann Defense,300+3,Time forfeit,0-1
4,2024.01.01,00:01:26,pony14,2289,-5,Depth25,2307,5,128,D78,"Neo-Grünfeld Defense: Classical Variation, Original Defense",600+0,Normal,0-1
5,2024.01.01,00:02:20,Niccosan,1205,6,aymenaymenaymenaymen,1214,-6,65,B01,Scandinavian Defense: Mieses-Kotroc Variation,600+0,Normal,1-0
6,2024.01.01,00:02:59,bster,1072,-7,GoldVividWater,1131,5,48,C20,King's Pawn Game: Leonardis Variation,900+10,Normal,0-1
7,2024.01.01,00:03:44,hornitoqueiru,1997,5,mrCrescendo,1971,-5,109,D00,Queen's Pawn Game: Accelerated London System,180+0,Time forfeit,1-0
8,2024.01.01,00:04:39,CursedPlayerARG,1645,-5,Reda-ivanshik,1676,5,46,D06,Queen's Gambit Declined: Marshall Defense,180+2,Time forfeit,0-1
9,2024.01.01,00:05:32,Hafidinho,1513,-5,WrathChess666,1513,6,136,C42,Russian Game,300+0,Time forfeit,0-1
10,2024.01.01,00:06:20,Bieitom,1433,-1,rubelowsky,1381,1,132,D15,Slav Defense: Three Knights Variation,300+0,Normal,1/2-1/2
11,2024.01.01,00:07:25,engynaeem,1661,5,Saif132004,1638,-21,171,D01,Rapport-Jobava System,600+0,Normal,1-0
12,2024.01.01,00:09:06,YurDenis,1660,-5,BAczel,1675,6,84,C34,King's Gambit Accepted: Fischer Defense,600+0,Time forfeit,0-1
13,2024.01.01,00:10:04,Avispa67,2018,-4,yancos2,2120,5,34,E51,"Nimzo-Indian Defense: Normal Variation, Ragozin Variation",900+10,Normal,0-1
14,2024.01.01,00:10:25,R-Neo,1978,87,Rocambole12,2015,-6,45,B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation",180+0,Normal,1-0
15,2024.01.01,00:10:27,AAArmstark,2451,7,dabee,2534,-7,51,A36,"English Opening: Symmetrical Variation, Symmetrical Variation",60+0,Normal,1-0
16,2024.01.01,00:11:49,Nagib23,1270,5,drunkPanzer,1260,-5,51,E21,Nimzo-Indian Defense: Three Knights Variation,180+2,Normal,1-0
17,2024.01.01,00:13:20,chess2021zz,2023,-6,mookiavelli,2003,6,48,D02,Queen's Pawn Game: Zukertort Variation,60+0,Normal,0-1
